app_id,name,release_date,is_free,developer,publisher,owners_range,price
6010,Indiana Jones® and the Fate of Atlantis™,2009-07-08,0,LucasArts,"LucasArts, Lucasfilm, Disney","200,000 .. 500,000",5.99
6020,STAR WARS™ Jedi Knight - Jedi Academy™,2009-09-16,0,Raven Software,"LucasArts, Lucasfilm, Disney","1,000,000 .. 2,000,000",9.99
6030,STAR WARS™ Jedi Knight II - Jedi Outcast™,N,0,Raven Software,"LucasArts, Lucasfilm, Disney","500,000 .. 1,000,000",9.99
6040,The Dig®,2009-07-08,0,LucasArts,LucasArts,"100,000 .. 200,000",5.99
6060,"STAR WARS™ Battlefront II (Classic, 2005)",N,0,Pandemic Studios,"Lucasfilm, LucasArts, Disney","5,000,000 .. 10,000,000",9.99
6080,Thrillville®: Off the Rails™,2009-07-08,0,Frontier,LucasArts,"50,000 .. 100,000",9.99
6090,Armed and Dangerous®,2009-07-08,0,Planet Moon Studios,"LucasArts, Lucasfilm, Disney","20,000 .. 50,000",5.99
6120,Shank,2010-10-25,0,Klei Entertainment,Klei Entertainment,"200,000 .. 500,000",9.99
6130,Shank Demo,2010-10-26,1,Klei Entertainment,Electronic Arts,"0 .. 20,000",0.0
6200,Ghost Master®,2006-12-21,0,Sick Puppies,Strategy First,"100,000 .. 200,000",4.99
6210,Vegas: Make It Big™,2006-12-21,0,Deepred,Strategy First,"20,000 .. 50,000",4.99
6220,FlatOut,2007-02-02,0,"Bugbear Entertainment, ZOOM Platform Media, Jordan Freeman Group",Strategy First,"200,000 .. 500,000",1.49
6230,FlatOut Demo,2007-02-02,1,Bugbear Entertainment,Strategy First,"0 .. 20,000",0.0
6250,Making History: The Calm & the Storm,2007-03-13,0,Muzzy Lane,Focus Entertainment,"50,000 .. 100,000",3.99
6260,Making History Demo,2007-03-13,1,Muzzy Lane,Strategy First,"0 .. 20,000",0.0
6270,Ducati World Championship,2007-09-21,0,Artematica Entertainment,SEGA,"20,000 .. 50,000",0.79
6300,Dreamfall: The Longest Journey,2007-01-12,0,Funcom,Funcom,"200,000 .. 500,000",5.99
6310,The Longest Journey,2007-05-01,0,Funcom,Funcom,"200,000 .. 500,000",2.99
6320,The Longest Journey Demo,2007-05-01,1,Funcom,Funcom,"0 .. 20,000",0.0
6370,Bloodline Champions,2011-10-28,1,Stunlock Studios,Stunlock Studios,"500,000 .. 1,000,000",0.0
6400,Joint Task Force,2007-03-27,0,Most Wanted Entertainment,HD Publishing,"20,000 .. 50,000",7.99
6410,Joint Task Force Demo,2007-03-27,1,Most Wanted Entertainment,HD Publishing,"0 .. 20,000",0.0
6420,Nexus - The Jupiter Incident,2007-07-03,0,Mithis Games,HandyGames,"100,000 .. 200,000",9.99
6510,Lost Planet™: Extreme Condition,2007-06-29,0,"CAPCOM Co., Ltd.",Capcom,"200,000 .. 500,000",14.99
6580,Lost Planet Demo,2007-05-15,1,"CAPCOM Co., Ltd.",Capcom,"0 .. 20,000",0.0
6600,Bullet Candy,2007-02-14,0,R C Knight,"Codemasters, Electronic Arts","50,000 .. 100,000",3.99
6800,Commandos: Behind Enemy Lines,2007-03-15,0,Pyro Studios,Kalypso Media Digital,"500,000 .. 1,000,000",4.99
6810,Commandos: Beyond the Call of Duty,2007-03-15,0,Pyro Studios,Kalypso Media Digital,"200,000 .. 500,000",4.99
6830,Commandos 2: Men of Courage,2007-03-15,0,Pyro Studios,Kalypso Media Digital,"500,000 .. 1,000,000",4.99
6840,Commandos 3: Destination Berlin,2007-03-15,0,Pyro Studios,Kalypso Media Digital,"500,000 .. 1,000,000",4.99
6850,Hitman 2: Silent Assassin,2007-03-15,0,Io-Interactive A/S,Io-Interactive A/S,"1,000,000 .. 2,000,000",8.99
